	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	284.00	20888025717253420156	156		广州地铁单程票 2张	12.00	98967431302341		e67c3b9531554405ab8e226675986adc42	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011421001004340055148190	0.00	转账	2016-01-14 11:39:46
	290.00	20885123468425220156	156		广州地铁单程票 1张	6.00	99052137935521		0df9482858f54cdf88b8678d78331c7222	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004520017540267	0.00	转账	2016-01-14 11:42:41
	297.00	20886022246788810156	156		广州地铁单程票 1张	7.00	99046096250881		e546539013044df89f9b643f0575404981	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004880091777571	0.00	转账	2016-01-14 11:43:02
	304.00	20882121380389540156	156		广州地铁单程票 1张	7.00	99093263639951		d08f596045794f57a17b0378899dd16f54	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004950090818999	0.00	转账	2016-01-14 11:43:50
	310.00	20880025224796810156	156		广州地铁单程票 1张	6.00	99183666791681		25931c4f173f40ba84462a0d6a4c396d81	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004680034026400	0.00	转账	2016-01-14 11:43:59
	313.00	20882129673806170156	156		广州地铁单程票 1张	3.00	99177529502611		526e3702dc684b45b9b0b82ffdbb4f6017	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004610040871161	0.00	转账	2016-01-14 11:44:34
	316.00	20887020789165650156	156		广州地铁单程票 1张	3.00	99066359937561		dc1bf43053a84f099769d4b8cb5660f065	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004560082345534	0.00	转账	2016-01-14 11:45:34
	320.00	20889026286364640156	156		广州地铁单程票 1张	4.00	99116630866461		94ba05d2f9e14682bebbe9c5302f4bce64	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004460049790433	0.00	转账	2016-01-14 11:46:26
	329.00	20887027617013910156	156		广州地铁单程票 1张	9.00	99350920264391		fee016d1e04f42ebb30a5597ed3cd9b691	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	9.00	2016011421001004390049243506	0.00	转账	2016-01-14 11:46:37
	336.00	20880221142155410156	156		广州地铁单程票 1张	7.00	98965214569541		4f4828fbdbdd4c17ab7a56bb0081e0c341	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004540094013188	0.00	转账	2016-01-14 11:49:33
	343.00	20888126759586140156	156		广州地铁单程票 1张	7.00	99177581141611		927cf7a79e9e4f2e85db24542fdc694b14	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004610040871274	0.00	转账	2016-01-14 11:49:49
	347.00	20884029213435410156	156		广州地铁单程票 2张	4.00	98965259550541		735668474afa416f9733c843b79f437f41	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004540094013466	0.00	转账	2016-01-14 11:54:35
	359.00	20880226528776580156	156		广州地铁单程票 2张	12.00	99251341568651		ffe52ad5d25c419b97f893fe2e56c70758	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011421001004650040714735	0.00	转账	2016-01-14 11:54:49
	362.00	20881129101812800156	156		广州地铁单程票 1张	3.00	99422487118281		95c1ecc8653d46a6b848d1befbb029bd80	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004280064452138	0.00	转账	2016-01-14 12:07:22
	369.00	20881026678813400156	156		广州地铁单程票 1张	7.00	98967682992341		a14caa79f4c5460aa70bb209eb9d3e6240	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004340055536928	0.00	转账	2016-01-14 12:08:09
	377.00	20889021671285250156	156		广州地铁单程票 2张	8.00	99052379007521		1595720fcb7c4c01a3f9e49f7d89ed2525	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	8.00	2016011421001004520017542015	0.00	转账	2016-01-14 12:09:35
	381.00	20887029711158920156	156		广州地铁单程票 1张	4.00	99356719445891		b6681a9ac84048b493c2a4748c7693a292	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004890000200719	0.00	转账	2016-01-14 12:09:49
	384.00	20881127137067650156	156		广州地铁单程票 1张	3.00	100368397029761		0737a720b9414e5cad2cad263227a72365	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004760033271326	0.00	转账	2016-01-14 12:10:28
	387.00	20881127340594750156	156		广州地铁单程票 1张	3.00	98995113001471		8f305be8a1d84961abcc3706b9f2638875	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004470070080574	0.00	转账	2016-01-14 12:12:21
	391.00	20882128860793190156	156		广州地铁单程票 1张	4.00	98926884661311		76b5bc1db91143028976d785ab1b212719	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004310048234527	0.00	转账	2016-01-14 12:15:06
	395.00	20881225818704040156	156		广州地铁单程票 2张	4.00	98997877434401		1c50cde3c36643afab7ede2601a87ef404	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004400063501885	0.00	转账	2016-01-14 12:16:30
	397.00	20883023888260130156	156		广州地铁单程票 1张	2.00	99200148607011		fe0a37d48f4f4a1cb65bbdc2ec3208d113	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004010096727047	0.00	转账	2016-01-14 12:29:04
	402.00	20883126519238440156	156		广州地铁单程票 1张	5.00	99147892651841		86ce6ed3ccc346ca83eb959e82ace7d444	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004840097609859	0.00	转账	2016-01-14 12:32:10
	406.00	20884123094664410156	156		广州地铁单程票 1张	4.00	99065236905441		f0d5160f163a4b27ae66ff3aaa7f384041	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004440064378835	0.00	转账	2016-01-14 12:32:25
	412.00	20888020070293850156	156		广州地铁单程票 1张	6.00	99243821554381		3807bf6c9907480aa99363c1716b27a885	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004380062125774	0.00	转账	2016-01-14 12:34:22
	416.00	20888025957087740156	156		广州地铁单程票 2张	4.00	98970551211771		91d346101709410d9e1db8ec8b13c6b174	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004770038270349	0.00	转账	2016-01-14 12:42:35
	422.00	20887024945394630156	156		广州地铁单程票 1张	6.00	99117137537461		e4c071e71d4f4be3a1165ba51eacd82563	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004460049882095	0.00	转账	2016-01-14 12:42:51
	424.00	20880027450570930156	156		广州地铁单程票 1张	2.00	99183162377091		623e75a349ce4f09a5599b9f9831b5b793	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004090024199049	0.00	转账	2016-01-14 12:43:07
	429.00	20880024477406130156	156		广州地铁单程票 1张	5.00	99178123743611		7adecdfda9e14aaeb3b0fb1f8207d6cc13	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004610041416200	0.00	转账	2016-01-14 12:47:58
	435.00	20889121026213030156	156		广州地铁单程票 1张	6.00	99027818638301		e6c1c36b56d64357891044acc78fd13403	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004300040793407	0.00	转账	2016-01-14 12:50:36
	447.00	20884020853551540156	156		广州地铁单程票 2张	12.00	99048925253151		235b46ddee3b408db67e2ff041fcaf3354	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011421001004150088119355	0.00	转账	2016-01-14 12:51:23
	457.00	20880021836160010156	156		广州地铁单程票 2张	10.00	99202584541001		70f04e26094f48b98a73caf2472d63b301	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011421001004000286661258	0.00	转账	2016-01-14 12:51:41
	467.00	20885122788508710156	156		广州地铁单程票 2张	10.00	99030343901871		c4c282a8f990469a9d7e0bf39c2c1d4d71	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011421001004870095052717	0.00	转账	2016-01-14 12:52:58
	473.00	20881028519140540156	156		广州地铁单程票 1张	6.00	98958615021051		03268e03dea34f54a29aa773c58134e654	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004050092925026	0.00	转账	2016-01-14 12:53:15
	482.00	20887025525076100156	156		广州地铁单程票 1张	9.00	99178175834611		e0cbfb0ea855401eb1d42d683198355510	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	9.00	2016011421001004610042947963	0.00	转账	2016-01-14 12:53:27
